agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-MAXQ,0,0,-845.0,-1.7315573770491803,488.0,488.0
R-MAXQ,0,1,-928.0,-5.928571428571429,502.0,14.0
R-MAXQ,0,2,-911.0,4.25,506.0,4.0
R-MAXQ,0,3,-894.0,4.25,510.0,4.0
R-MAXQ,0,4,-927.0,-3.6666666666666665,519.0,9.0
R-MAXQ,0,5,-1014.0,-4.833333333333333,537.0,18.0
R-MAXQ,0,6,-1414.0,-2.6490066225165565,688.0,151.0
R-MAXQ,0,7,-1400.0,2.0,695.0,7.0
R-MAXQ,0,8,-1383.0,4.25,699.0,4.0
R-MAXQ,0,9,-1366.0,4.25,703.0,4.0
R-MAXQ,0,10,-1457.0,-4.136363636363637,725.0,22.0
R-MAXQ,0,11,-1440.0,4.25,729.0,4.0
R-MAXQ,0,12,-1423.0,4.25,733.0,4.0
R-MAXQ,0,13,-1406.0,4.25,737.0,4.0
R-MAXQ,0,14,-1389.0,4.25,741.0,4.0
R-MAXQ,0,15,-1372.0,4.25,745.0,4.0
R-MAXQ,0,16,-1355.0,4.25,749.0,4.0
R-MAXQ,0,17,-1339.0,3.2,754.0,5.0
R-MAXQ,0,18,-1323.0,3.2,759.0,5.0
R-MAXQ,0,19,-1306.0,4.25,763.0,4.0
R-MAXQ,0,20,-1290.0,3.2,768.0,5.0
R-MAXQ,0,21,-1274.0,3.2,773.0,5.0
R-MAXQ,0,22,-1257.0,4.25,777.0,4.0
R-MAXQ,0,23,-1240.0,4.25,781.0,4.0
R-MAXQ,0,24,-1223.0,4.25,785.0,4.0
R-MAXQ,0,25,-1206.0,4.25,789.0,4.0
R-MAXQ,0,26,-1189.0,4.25,793.0,4.0
R-MAXQ,0,27,-1175.0,2.0,800.0,7.0
R-MAXQ,0,28,-1159.0,3.2,805.0,5.0
R-MAXQ,0,29,-1142.0,4.25,809.0,4.0
R-MAXQ,0,30,-1126.0,3.2,814.0,5.0
R-MAXQ,0,31,-1111.0,2.5,820.0,6.0
R-MAXQ,0,32,-1094.0,4.25,824.0,4.0
R-MAXQ,0,33,-1077.0,4.25,828.0,4.0
R-MAXQ,0,34,-1060.0,4.25,832.0,4.0
R-MAXQ,0,35,-1044.0,3.2,837.0,5.0
R-MAXQ,0,36,-1030.0,2.0,844.0,7.0
R-MAXQ,0,37,-1013.0,4.25,848.0,4.0
R-MAXQ,0,38,-996.0,4.25,852.0,4.0
R-MAXQ,0,39,-979.0,4.25,856.0,4.0
R-MAXQ,0,40,-962.0,4.25,860.0,4.0
R-MAXQ,0,41,-946.0,3.2,865.0,5.0
R-MAXQ,0,42,-929.0,4.25,869.0,4.0
R-MAXQ,0,43,-912.0,4.25,873.0,4.0
R-MAXQ,0,44,-895.0,4.25,877.0,4.0
R-MAXQ,0,45,-878.0,4.25,881.0,4.0
R-MAXQ,0,46,-862.0,3.2,886.0,5.0
R-MAXQ,0,47,-845.0,4.25,890.0,4.0
R-MAXQ,0,48,-828.0,4.25,894.0,4.0
R-MAXQ,0,49,-811.0,4.25,898.0,4.0
R-MAXQ,0,50,-794.0,4.25,902.0,4.0
R-MAXQ,0,51,-777.0,4.25,906.0,4.0
R-MAXQ,0,52,-760.0,4.25,910.0,4.0
R-MAXQ,0,53,-743.0,4.25,914.0,4.0
R-MAXQ,0,54,-726.0,4.25,918.0,4.0
R-MAXQ,0,55,-709.0,4.25,922.0,4.0
R-MAXQ,0,56,-692.0,4.25,926.0,4.0
R-MAXQ,0,57,-676.0,3.2,931.0,5.0
R-MAXQ,0,58,-659.0,4.25,935.0,4.0
R-MAXQ,0,59,-643.0,3.2,940.0,5.0
R-MAXQ,0,60,-629.0,2.0,947.0,7.0
R-MAXQ,0,61,-613.0,3.2,952.0,5.0
R-MAXQ,0,62,-598.0,2.5,958.0,6.0
R-MAXQ,0,63,-581.0,4.25,962.0,4.0
R-MAXQ,0,64,-565.0,3.2,967.0,5.0
R-MAXQ,0,65,-548.0,4.25,971.0,4.0
R-MAXQ,0,66,-531.0,4.25,975.0,4.0
R-MAXQ,0,67,-514.0,4.25,979.0,4.0
R-MAXQ,0,68,-498.0,3.2,984.0,5.0
R-MAXQ,0,69,-483.0,2.5,990.0,6.0
R-MAXQ,0,70,-466.0,4.25,994.0,4.0
R-MAXQ,0,71,-449.0,4.25,998.0,4.0
R-MAXQ,0,72,-432.0,4.25,1002.0,4.0
R-MAXQ,0,73,-415.0,4.25,1006.0,4.0
R-MAXQ,0,74,-398.0,4.25,1010.0,4.0
R-MAXQ,0,75,-381.0,4.25,1014.0,4.0
R-MAXQ,0,76,-364.0,4.25,1018.0,4.0
R-MAXQ,0,77,-349.0,2.5,1024.0,6.0
R-MAXQ,0,78,-333.0,3.2,1029.0,5.0
R-MAXQ,0,79,-316.0,4.25,1033.0,4.0
