agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-MAXQ,0,0,-770.0,-1.54,500.0,500.0
R-MAXQ,0,1,-846.0,-4.75,516.0,16.0
R-MAXQ,0,2,-1634.0,-1.576,1016.0,500.0
R-MAXQ,0,3,-1761.0,-1.4941176470588236,1101.0,85.0
R-MAXQ,0,4,-2666.0,-1.81,1601.0,500.0
R-MAXQ,0,5,-2650.0,3.2,1606.0,5.0
R-MAXQ,0,6,-2919.0,-1.8424657534246576,1752.0,146.0
R-MAXQ,0,7,-2904.0,2.5,1758.0,6.0
R-MAXQ,0,8,-2892.0,1.3333333333333333,1767.0,9.0
R-MAXQ,0,9,-2880.0,1.3333333333333333,1776.0,9.0
R-MAXQ,0,10,-2865.0,2.5,1782.0,6.0
R-MAXQ,0,11,-3213.0,-2.2745098039215685,1935.0,153.0
R-MAXQ,0,12,-3832.0,-1.5953608247422681,2323.0,388.0
R-MAXQ,0,13,-3817.0,2.5,2329.0,6.0
R-MAXQ,0,14,-3945.0,-3.1219512195121952,2370.0,41.0
R-MAXQ,0,15,-3980.0,-1.206896551724138,2399.0,29.0
R-MAXQ,0,16,-3965.0,2.5,2405.0,6.0
R-MAXQ,0,17,-3948.0,4.25,2409.0,4.0
R-MAXQ,0,18,-3931.0,4.25,2413.0,4.0
R-MAXQ,0,19,-3914.0,4.25,2417.0,4.0
R-MAXQ,0,20,-3897.0,4.25,2421.0,4.0
R-MAXQ,0,21,-3907.0,-0.7692307692307693,2434.0,13.0
R-MAXQ,0,22,-3891.0,3.2,2439.0,5.0
R-MAXQ,0,23,-3874.0,4.25,2443.0,4.0
R-MAXQ,0,24,-3889.0,-0.8333333333333334,2461.0,18.0
R-MAXQ,0,25,-3872.0,4.25,2465.0,4.0
R-MAXQ,0,26,-3926.0,-2.5714285714285716,2486.0,21.0
R-MAXQ,0,27,-3909.0,4.25,2490.0,4.0
R-MAXQ,0,28,-3892.0,4.25,2494.0,4.0
R-MAXQ,0,29,-3875.0,4.25,2498.0,4.0
R-MAXQ,1,0,-725.0,-1.45,500.0,500.0
R-MAXQ,1,1,-1648.0,-1.846,1000.0,500.0
R-MAXQ,1,2,-1682.0,-1.7894736842105263,1019.0,19.0
R-MAXQ,1,3,-2215.0,-1.391644908616188,1402.0,383.0
R-MAXQ,1,4,-2459.0,-2.8705882352941177,1487.0,85.0
R-MAXQ,1,5,-2504.0,-2.142857142857143,1508.0,21.0
R-MAXQ,1,6,-2878.0,-1.898477157360406,1705.0,197.0
R-MAXQ,1,7,-2865.0,1.625,1713.0,8.0
R-MAXQ,1,8,-3247.0,-1.7130044843049328,1936.0,223.0
R-MAXQ,1,9,-3231.0,3.2,1941.0,5.0
R-MAXQ,1,10,-3337.0,-3.7857142857142856,1969.0,28.0
