agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-MAXQ,0,0,-1214.0,-1.3733031674208145,884.0,884.0
R-MAXQ,0,1,-1670.0,-2.2028985507246377,1091.0,207.0
R-MAXQ,0,2,-1716.0,-3.5384615384615383,1104.0,13.0
R-MAXQ,0,3,-3285.0,-1.481586402266289,2163.0,1059.0
R-MAXQ,0,4,-4059.0,-2.243478260869565,2508.0,345.0
R-MAXQ,0,5,-4175.0,-2.0714285714285716,2564.0,56.0
R-MAXQ,0,6,-4360.0,-5.285714285714286,2599.0,35.0
R-MAXQ,0,7,-4475.0,-4.107142857142857,2627.0,28.0
R-MAXQ,0,8,-4482.0,-0.7,2637.0,10.0
R-MAXQ,0,9,-4522.0,-2.5,2653.0,16.0
R-MAXQ,0,10,-4505.0,4.25,2657.0,4.0
R-MAXQ,0,11,-4489.0,3.2,2662.0,5.0
R-MAXQ,0,12,-4472.0,4.25,2666.0,4.0
R-MAXQ,0,13,-4457.0,2.5,2672.0,6.0
R-MAXQ,0,14,-4444.0,1.625,2680.0,8.0
R-MAXQ,0,15,-4431.0,1.625,2688.0,8.0
R-MAXQ,0,16,-4414.0,4.25,2692.0,4.0
R-MAXQ,0,17,-4460.0,-3.5384615384615383,2705.0,13.0
R-MAXQ,0,18,-4443.0,4.25,2709.0,4.0
R-MAXQ,0,19,-4428.0,2.5,2715.0,6.0
R-MAXQ,1,0,-800.0,-1.4285714285714286,560.0,560.0
R-MAXQ,1,1,-1247.0,-1.3423423423423424,893.0,333.0
R-MAXQ,1,2,-1515.0,-1.7402597402597402,1047.0,154.0
R-MAXQ,1,3,-1937.0,-1.37012987012987,1355.0,308.0
R-MAXQ,1,4,-2008.0,-3.55,1375.0,20.0
R-MAXQ,1,5,-2174.0,-3.86046511627907,1418.0,43.0
R-MAXQ,1,6,-2173.0,0.09090909090909091,1429.0,11.0
R-MAXQ,1,7,-4028.0,-1.8009708737864079,2459.0,1030.0
R-MAXQ,1,8,-4065.0,-2.8461538461538463,2472.0,13.0
R-MAXQ,1,9,-4048.0,4.25,2476.0,4.0
R-MAXQ,1,10,-4384.0,-2.1132075471698113,2635.0,159.0
R-MAXQ,1,11,-4367.0,4.25,2639.0,4.0
R-MAXQ,1,12,-4350.0,4.25,2643.0,4.0
R-MAXQ,1,13,-4333.0,4.25,2647.0,4.0
R-MAXQ,1,14,-4504.0,-1.3255813953488371,2776.0,129.0
R-MAXQ,1,15,-4488.0,3.2,2781.0,5.0
R-MAXQ,1,16,-4628.0,-1.4285714285714286,2879.0,98.0
R-MAXQ,1,17,-4666.0,-2.7142857142857144,2893.0,14.0
R-MAXQ,1,18,-4649.0,4.25,2897.0,4.0
R-MAXQ,1,19,-4632.0,4.25,2901.0,4.0
R-AMDP,0,0,-330.0,-0.9649122807017544,342.0,342.0
R-AMDP,0,1,-971.0,-1.0542763157894737,950.0,608.0
R-AMDP,0,2,-1439.0,-0.975,1430.0,480.0
R-AMDP,0,3,-1779.0,-0.9912536443148688,1773.0,343.0
R-AMDP,0,4,-2640.0,-1.0629629629629629,2583.0,810.0
R-AMDP,0,5,-2653.0,-0.52,2608.0,25.0
R-AMDP,0,6,-2955.0,-0.9901639344262295,2913.0,305.0
R-AMDP,0,7,-2944.0,1.1,2923.0,10.0
R-AMDP,0,8,-3525.0,-1.0602189781021898,3471.0,548.0
R-AMDP,0,9,-3508.0,4.25,3475.0,4.0
R-AMDP,0,10,-3495.0,1.625,3483.0,8.0
R-AMDP,0,11,-3478.0,4.25,3487.0,4.0
R-AMDP,0,12,-3479.0,-0.045454545454545456,3509.0,22.0
R-AMDP,0,13,-3699.0,-0.9865470852017937,3732.0,223.0
R-AMDP,0,14,-3682.0,4.25,3736.0,4.0
R-AMDP,0,15,-3671.0,1.1,3746.0,10.0
R-AMDP,0,16,-3659.0,1.3333333333333333,3755.0,9.0
R-AMDP,0,17,-3644.0,2.5,3761.0,6.0
R-AMDP,0,18,-3627.0,4.25,3765.0,4.0
R-AMDP,0,19,-3610.0,4.25,3769.0,4.0
R-AMDP,1,0,-33.0,-0.7333333333333333,45.0,45.0
R-AMDP,1,1,-140.0,-0.8359375,173.0,128.0
R-AMDP,1,2,-1107.0,-1.0254506892895017,1116.0,943.0
R-AMDP,1,3,-2669.0,-1.0654843110504775,2582.0,1466.0
R-AMDP,1,4,-3551.0,-1.05,3422.0,840.0
R-AMDP,1,5,-3585.0,-0.7391304347826086,3468.0,46.0
R-AMDP,1,6,-3697.0,-1.1546391752577319,3565.0,97.0
R-AMDP,1,7,-3776.0,-1.082191780821918,3638.0,73.0
R-AMDP,1,8,-3761.0,2.5,3644.0,6.0
R-AMDP,1,9,-3747.0,2.0,3651.0,7.0
R-AMDP,1,10,-3732.0,2.5,3657.0,6.0
R-AMDP,1,11,-3718.0,2.0,3664.0,7.0
R-AMDP,1,12,-3707.0,1.1,3674.0,10.0
R-AMDP,1,13,-3691.0,3.2,3679.0,5.0
R-AMDP,1,14,-3674.0,4.25,3683.0,4.0
R-AMDP,1,15,-3663.0,1.1,3693.0,10.0
R-AMDP,1,16,-3647.0,3.2,3698.0,5.0
R-AMDP,1,17,-3635.0,1.3333333333333333,3707.0,9.0
R-AMDP,1,18,-3618.0,4.25,3711.0,4.0
R-AMDP,1,19,-3601.0,4.25,3715.0,4.0
