agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-MAXQ,0,0,-3567.0,-1.267590618336887,2814.0,2814.0
R-MAXQ,0,1,-3611.0,-2.2,2834.0,20.0
R-MAXQ,0,2,-3707.0,-3.5555555555555554,2861.0,27.0
R-MAXQ,0,3,-3701.0,0.4,2876.0,15.0
R-MAXQ,0,4,-3695.0,0.4,2891.0,15.0
R-MAXQ,0,5,-3745.0,-1.9230769230769231,2917.0,26.0
R-MAXQ,0,6,-3739.0,0.4,2932.0,15.0
R-MAXQ,0,7,-3733.0,0.4,2947.0,15.0
R-MAXQ,0,8,-3727.0,0.4,2962.0,15.0
R-MAXQ,0,9,-3721.0,0.4,2977.0,15.0
R-MAXQ,0,10,-3715.0,0.4,2992.0,15.0
R-MAXQ,0,11,-3709.0,0.4,3007.0,15.0
R-MAXQ,0,12,-3703.0,0.4,3022.0,15.0
R-MAXQ,0,13,-3697.0,0.4,3037.0,15.0
R-MAXQ,0,14,-3691.0,0.4,3052.0,15.0
R-MAXQ,0,15,-3685.0,0.4,3067.0,15.0
R-MAXQ,0,16,-3679.0,0.4,3082.0,15.0
R-MAXQ,0,17,-3673.0,0.4,3097.0,15.0
R-MAXQ,0,18,-3667.0,0.4,3112.0,15.0
R-MAXQ,0,19,-3661.0,0.4,3127.0,15.0
R-MAXQ,1,0,-761.0,-1.1443609022556391,665.0,665.0
R-MAXQ,1,1,-3669.0,-1.3382420616658997,2838.0,2173.0
R-MAXQ,1,2,-3735.0,-2.75,2862.0,24.0
R-MAXQ,1,3,-3729.0,0.4,2877.0,15.0
R-MAXQ,1,4,-3723.0,0.4,2892.0,15.0
R-MAXQ,1,5,-3773.0,-1.9230769230769231,2918.0,26.0
R-MAXQ,1,6,-3767.0,0.4,2933.0,15.0
R-MAXQ,1,7,-3761.0,0.4,2948.0,15.0
R-MAXQ,1,8,-3755.0,0.4,2963.0,15.0
R-MAXQ,1,9,-3749.0,0.4,2978.0,15.0
R-MAXQ,1,10,-3743.0,0.4,2993.0,15.0
R-MAXQ,1,11,-3737.0,0.4,3008.0,15.0
R-MAXQ,1,12,-3731.0,0.4,3023.0,15.0
R-MAXQ,1,13,-3725.0,0.4,3038.0,15.0
R-MAXQ,1,14,-3719.0,0.4,3053.0,15.0
R-MAXQ,1,15,-3713.0,0.4,3068.0,15.0
R-MAXQ,1,16,-3707.0,0.4,3083.0,15.0
R-MAXQ,1,17,-3701.0,0.4,3098.0,15.0
R-MAXQ,1,18,-3695.0,0.4,3113.0,15.0
R-MAXQ,1,19,-3689.0,0.4,3128.0,15.0
R-AMDP,0,0,-4199.0,-1.0014309563558312,4193.0,4193.0
R-AMDP,0,1,-4932.0,-0.9721485411140584,4947.0,754.0
R-AMDP,0,2,-10400.0,-1.0010984987184182,10409.0,5462.0
R-AMDP,0,3,-10599.0,-0.943127962085308,10620.0,211.0
R-AMDP,0,4,-11342.0,-1.1983870967741936,11240.0,620.0
R-AMDP,0,5,-11380.0,-0.6440677966101694,11299.0,59.0
R-AMDP,0,6,-11388.0,-0.27586206896551724,11328.0,29.0
R-AMDP,0,7,-11390.0,-0.08695652173913043,11351.0,23.0
R-AMDP,0,8,-11386.0,0.23529411764705882,11368.0,17.0
R-AMDP,0,9,-11382.0,0.23529411764705882,11385.0,17.0
R-AMDP,0,10,-11376.0,0.4,11400.0,15.0
R-AMDP,0,11,-11376.0,0.0,11421.0,21.0
R-AMDP,0,12,-11372.0,0.23529411764705882,11438.0,17.0
R-AMDP,0,13,-11366.0,0.4,11453.0,15.0
R-AMDP,0,14,-11360.0,0.4,11468.0,15.0
R-AMDP,0,15,-11358.0,0.10526315789473684,11487.0,19.0
R-AMDP,0,16,-11358.0,0.0,11508.0,21.0
R-AMDP,0,17,-11358.0,0.0,11529.0,21.0
R-AMDP,0,18,-11356.0,0.10526315789473684,11548.0,19.0
R-AMDP,0,19,-11354.0,0.10526315789473684,11567.0,19.0
R-AMDP,1,0,-7422.0,-1.002025111381126,7407.0,7407.0
R-AMDP,1,1,-7862.0,-0.9932279909706546,7850.0,443.0
R-AMDP,1,2,-10584.0,-1.0055411895086812,10557.0,2707.0
R-AMDP,1,3,-11091.0,-1.0903225806451613,11022.0,465.0
R-AMDP,1,4,-11107.0,-0.43243243243243246,11059.0,37.0
R-AMDP,1,5,-11117.0,-0.3225806451612903,11090.0,31.0
R-AMDP,1,6,-11115.0,0.10526315789473684,11109.0,19.0
R-AMDP,1,7,-11111.0,0.23529411764705882,11126.0,17.0
R-AMDP,1,8,-11107.0,0.23529411764705882,11143.0,17.0
R-AMDP,1,9,-11107.0,0.0,11164.0,21.0
R-AMDP,1,10,-11123.0,-0.43243243243243246,11201.0,37.0
R-AMDP,1,11,-11117.0,0.4,11216.0,15.0
R-AMDP,1,12,-11115.0,0.10526315789473684,11235.0,19.0
R-AMDP,1,13,-11109.0,0.4,11250.0,15.0
R-AMDP,1,14,-11103.0,0.4,11265.0,15.0
R-AMDP,1,15,-11101.0,0.10526315789473684,11284.0,19.0
R-AMDP,1,16,-11095.0,0.4,11299.0,15.0
R-AMDP,1,17,-11100.0,-0.19230769230769232,11325.0,26.0
R-AMDP,1,18,-11101.0,-0.045454545454545456,11347.0,22.0
R-AMDP,1,19,-11101.0,0.0,11368.0,21.0
